unified_round,segment,native_id,date,artifact_mtime_span,session_first_mention_utc,problem,problem_detail,problem_evidence,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,source_file
556,next,NEXT540,2026-08-13,2026-08-13T22:13 .. 2026-08-13T22:16,2026-08-14T02:50:53,adjacent,,mined from round report/controls,search/test,PBAAA framework guard,"ODAC23 6,121 rows (discovery+internal validation partitions)","ODAC23 framework relaxation-response endpoint (protected<=0.05 A, severe>=0.2 A)","36,564 candidates searched; eligible_candidate_count=0; next541_replication_prediction_authorized=false",fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next540_odac23_pbaaa_framework_guard_v1/NEXT540_ODAC23_PBAAA_FRAMEWORK_SEARCH.json | docs/plans/2026-08-13-next537-next542-periodic-bond-angle-affine-accommodation.md | SSD/workspace_data/newpauling/next540_odac23_pbaaa_framework_guard_v1/MANIFEST.json :: candidate_count=36564; eligible_candidate_count=0 || SSD/workspace_data/newpauling/next540_od
557,next,NEXT541,2026-08-13,2026-08-13T22:26 .. 2026-08-13T22:30,2026-08-14T02:50:53,adjacent,,mined from round report/controls,search/test,MUPR (SSSP-derived multi-input risk; -sssp_same_sign_shell_purity_q10),"JARVIS-CDVAE generated structures (mapping coverage 0.9672131148, tiers 8+51)",sealed JARVIS DFT response (opened only in NEXT542),label-blind gates passed; predictions frozen and hashed,probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next541_jarvis_cdvae_initial_prediction_freeze_v1/NEXT541_MUPR_FORMULA.json | docs/plans/2026-08-13-next537-next542-periodic-bond-angle-affine-accommodation.md | artifact mtime: docs/plans/2026-08-13-next541-next542-jarvis-cdvae-dft-response.md
558,next,NEXT542,2026-08-13,2026-08-13T22:35 .. 2026-08-13T22:36,2026-08-14T02:50:53,adjacent,,mined from round report/controls,search/test,MUPR,JARVIS-CDVAE mapped structures (59 with endpoints),JARVIS-CDVAE DFT severe-response endpoint,ROC AUC 0.9827586207 (lower 0.9482758621) but class counts degenerate: 58 severe / 1 nonsevere (min 10 each); bottom-50% and top-15% recall gates fail; all_gates_pass=false,fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next542_jarvis_cdvae_dft_response_v1/NEXT542_JARVIS_CDVAE_DFT_RESPONSE.json | docs/plans/2026-08-13-next537-next542-periodic-bond-angle-affine-accommodation.md | artifact mtime: src/next542_jarvis_cdvae_dft_response.py
559,next,NEXT543,2026-08-13,2026-08-13T22:42 .. 2026-08-13T22:48,2026-08-14T03:40:05,adjacent,,mined from round report/controls,search/test,MUPR (Li-Si random relaxation),Li-Si random-relaxation set: 200 structures (Li15Si4 family shards),sealed DFT-waste endpoint (opened only in NEXT545),200-structure initial cohort frozen,probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next543_lisi_random_relaxation_initial_cohort_v1/NEXT543_LISI_RR_INITIAL_COHORT.json | docs/plans/2026-08-13-next543-next545-lisi-random-relaxation-confirmation.md | artifact mtime: docs/plans/2026-08-13-next543-next545-lisi-random-relaxation-confirmation.md
560,next,NEXT544,2026-08-13,2026-08-13T22:49 .. 2026-08-13T22:52,2026-08-14T03:42:00,adjacent,,mined from round report/controls,search/test,MUPR,Li-Si 200-structure cohort,sealed DFT-waste endpoint,MUPR predictions frozen (risk_inputs incl. -sssp_same_sign_shell_purity_q10),probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next544_lisi_random_relaxation_prediction_freeze_v1/NEXT544_MUPR_FORMULA.json | docs/plans/2026-08-13-next543-next545-lisi-random-relaxation-confirmation.md | artifact mtime: tests/test_next544_lisi_random_relaxation_prediction_freeze.py
561,next,NEXT545,2026-08-13,2026-08-13T22:53 .. 2026-08-13T22:58,2026-08-14T03:42:00,adjacent,,mined from round report/controls,search/test,MUPR,Li-Si 200 structures (61 positive / 139 negative),Li-Si DFT-waste endpoint (coverage 1.0),ROC AUC 0.5314305932 (lower 0.4419041437 < 0.55); Spearman 0.1127948747 (lower -0.0228308972); all_gates_pass=false,fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next545_lisi_random_relaxation_confirmation_v1/NEXT545_LISI_RR_CONFIRMATION.json | docs/plans/2026-08-13-next543-next545-lisi-random-relaxation-confirmation.md | artifact mtime: tests/test_next545_lisi_random_relaxation_confirmation.py
562,next,NEXT546,2026-08-13,2026-08-13T23:00 .. 2026-08-13T23:04,2026-08-14T04:00:06,adjacent,,mined from round report/controls,search/test,NEXT43 analytic feature bank (Li-Si mechanism search),opened NEXT545 development set (200 rows),Li-Si DFT-waste endpoint (opened),univariate screen + pair search: eligible_count=0; independent_confirmation_required=true,fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next546_lisi_analytic_mechanism_search_v1/NEXT546_PAIR_SEARCH.json | docs/plans/2026-08-13-next546-next548-lisi-analytic-mechanism-search.md | SSD/workspace_data/newpauling/next546_lisi_analytic_mechanism_search_v1/MANIFEST.json :: eligible_count=0 || SSD/workspace_data/newpauling/next546_lisi_analytic_mechanism_search_v1
563,next,NEXT547,2026-08-13,NA,2026-08-14T04:00:06,adjacent,,mined from round report/controls,search/test,Li-Si analytic mechanism,NA,NA,not executed; formula freeze conditional on an eligible NEXT546 pair (eligible_count=0),not-run (blocked upstream),<repo>/docs/plans/2026-08-13-next546-next548-lisi-analytic-mechanism-search.md | docs/plans/2026-08-13-next546-next548-lisi-analytic-mechanism-search.md
564,next,NEXT548,2026-08-13,NA,2026-08-14T04:00:06,adjacent,,mined from round report/controls,search/test,Li-Si analytic mechanism,NA,NA,not executed; prospective-source confirmation blocked (no NEXT547 formula),not-run (blocked upstream),<repo>/docs/plans/2026-08-13-next546-next548-lisi-analytic-mechanism-search.md | docs/plans/2026-08-13-next546-next548-lisi-analytic-mechanism-search.md
565,next,NEXT549,2026-08-13,2026-08-13T23:22 .. 2026-08-13T23:26,2026-08-14T04:21:58,adjacent,,mined from round report/controls,search/test,TCSE (two-sided contact symmetric excess),"OMC25 pooled batches (3,099 rows, 26 source shards)",sealed OMC25 large DFT energy-drop response,TCSE formula frozen before retrospective evaluation,probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next549_omc25_two_sided_contact_freeze_v1/NEXT549_TCSE_FORMULA.json | docs/plans/2026-08-13-next549-next550-omc25-two-sided-contact-transfer.md | artifact mtime: docs/plans/2026-08-13-next549-next550-omc25-two-sided-contact-transfer.md
566,next,NEXT550,2026-08-13,2026-08-13T23:22 .. 2026-08-13T23:26,2026-08-14T04:21:58,adjacent,,mined from round report/controls,search/test,TCSE,"OMC25 3,099 rows (313 large-response / 612 protected)",OMC25 large DFT energy-drop response (retrospective; historical endpoint contamination noted),"tcse_risk ROC AUC 0.6162613616 (cluster lower 0.5626509144), Spearman 0.0389800334; reference next31_risk_score AUC 0.8867202283; diagnostic_support_pass=false",fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next550_omc25_two_sided_contact_retrospective_v1/NEXT550_OMC25_TCSE_RETROSPECTIVE.json | docs/plans/2026-08-13-next549-next550-omc25-two-sided-contact-transfer.md | artifact mtime: tests/test_next550_omc25_two_sided_contact_evaluate.py
567,next,NEXT551,2026-08-13,2026-08-13T23:35 .. 2026-08-13T23:38,2026-08-14T04:33:42,adjacent,,mined from round report/controls,search/test,HEA composition/x0 triage,"HEA cohort: 2,400 frozen FIDs (ordered+SQS)",sealed (no endpoint opened),"2,400-row label-free cohort frozen",probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next551_hea_initial_cohort_v1/NEXT551_HEA_COHORT.json | docs/plans/2026-08-13-next551-next554-hea-blind-law-search.md | artifact mtime: docs/plans/2026-08-13-next551-next554-hea-blind-law-search.md
568,next,NEXT552,2026-08-13,2026-08-13T23:40 .. 2026-08-13T23:55,2026-08-14T04:33:42,adjacent,,mined from round report/controls,search/test,NEXT43 analytic bank + NEXT546 primitives (NEXT552 feature bank),NEXT551 cohort,sealed (no endpoint opened),frozen analytic feature bank computed,probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next552_hea_analytic_feature_freeze_v1/NEXT552_FEATURE_CATALOGUE.json | docs/plans/2026-08-13-next551-next554-hea-blind-law-search.md | artifact mtime: tests/test_next552_hea_analytic_feature_freeze.py
569,next,NEXT553,2026-08-13,2026-08-13T23:48 .. 2026-08-13T23:56,2026-08-14T04:33:42,adjacent,,mined from round report/controls,search/test,NEXT552 feature bank (blind law search),"HEA development 1,200 rows",original HEA endpoint (pre-NEXT555),"endpoint degenerate: 1,107 positive / 93 negative, only 4 protected; class_gates.passes=false; search stopped before running",fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next553_hea_development_search_v1/NEXT553_HEA_DEVELOPMENT_SEARCH.json | docs/plans/2026-08-13-next551-next554-hea-blind-law-search.md | SSD/workspace_data/newpauling/next553_hea_development_search_v1/MANIFEST.json :: eligible_pair_count=0 || workspace/newpauling/reports/evidence/2026-08-14-next1-next568/late-json-c
570,next,NEXT554,2026-08-13,NA,2026-08-14T04:33:42,adjacent,,mined from round report/controls,search/test,HEA blind law search,NA,NA,not executed; sealed confirmation conditional on eligible NEXT553 formula (none),not-run (blocked upstream),<repo>/docs/plans/2026-08-13-next551-next554-hea-blind-law-search.md | docs/plans/2026-08-13-next551-next554-hea-blind-law-search.md
571,next,NEXT555,2026-08-13,2026-08-13T23:58 .. 2026-08-14T00:00,2026-08-14T04:58:17,adjacent,,mined from round report/controls,search/test,NEXT552 feature bank (extreme-waste endpoint),"HEA development 1,200 rows (635 positive / 565 negative, 64 protected)",preregistered extreme DFT-waste OR endpoint (e_above_hull>=0.4 eV/atom OR large geometry response),"class gates pass; 46 searchable directions, 7 univariate entrants, 40 pair candidates, eligible_pair_count=0; best univariate packing-fraction AUC 0.7021",fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next555_hea_extreme_waste_search_v1/NEXT555_HEA_EXTREME_SEARCH.json | docs/plans/2026-08-13-next555-next556-hea-extreme-waste.md | SSD/workspace_data/newpauling/next555_hea_extreme_waste_search_v1/MANIFEST.json :: eligible_pair_count=0 || SSD/workspace_data/newpauling/next555_hea_extreme_waste_search_v1/NEXT55
572,next,NEXT556,2026-08-13,NA,2026-08-14T04:58:17,adjacent,,mined from round report/controls,search/test,HEA extreme-waste search,NA,NA,not executed; sealed validation conditional on an eligible NEXT555 combination (0 eligible),not-run (blocked upstream),<repo>/docs/plans/2026-08-13-next555-next556-hea-extreme-waste.md | docs/plans/2026-08-13-next555-next556-hea-extreme-waste.md
573,next,NEXT557,2026-08-14,2026-08-14T00:02 .. 2026-08-14T00:02,2026-08-14T05:02:05,adjacent,,mined from round report/controls,search/test,packing-deficit (single frozen x0 feature),"HEA development 1,200 rows",NEXT555 extreme DFT-waste OR endpoint,"frozen; development ROC AUC overall 0.7020528186 (ordered 0.7077235818, SQS 0.6789325580); Spearman 0.3437866032",probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next557_hea_packing_deficit_freeze_v1/NEXT557_FROZEN_PACKING_DEFICIT.json | docs/plans/2026-08-14-next557-next558-hea-packing-deficit.md | artifact mtime: docs/plans/2026-08-14-next557-next558-hea-packing-deficit.md
574,next,NEXT558,2026-08-14,2026-08-14T00:04 .. 2026-08-14T00:05,2026-08-14T05:02:05,adjacent,,mined from round report/controls,search/test,packing-deficit,"HEA blind validation 1,200 rows (689 positive / 511 negative, 48 protected, 103 systems)",NEXT555 extreme DFT-waste OR endpoint,overall ROC AUC 0.6612819850; cluster bootstrap lower 0.5429671563 (<0.65); Spearman 0.2897110788; confirmation_pass=false,fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next558_hea_packing_deficit_validation_v1/NEXT558_HEA_PACKING_DEFICIT_VALIDATION.json | docs/plans/2026-08-14-next557-next558-hea-packing-deficit.md | artifact mtime: src/next558_hea_packing_deficit_validation.py
575,next,NEXT559,2026-08-14,2026-08-14T00:09 .. 2026-08-14T00:10,2026-08-14T05:09:11,adjacent,,mined from round report/controls,search/test,EPCU (entropy-packing composite),"opened HEA development+validation (2x1,200 rows)",NEXT555 extreme DFT-waste OR endpoint,"EPCU frozen; component dev AUC entropy 0.6736018396, packing 0.7020528186",probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next559_hea_entropy_packing_discovery_v1/NEXT559_HEA_ENTROPY_PACKING_DISCOVERY.json | docs/plans/2026-08-14-next559-next561-hea-entropy-packing.md | artifact mtime: docs/plans/2026-08-14-next559-next561-hea-entropy-packing.md
576,next,NEXT560,2026-08-14,2026-08-14T00:11 .. 2026-08-14T00:18,2026-08-14T05:07:55,adjacent,,mined from round report/controls,search/test,EPCU,"new blind cohort: 2,000 rows (1,575 new-identity known-system / 425 unseen-system; 226 systems)",sealed until NEXT561,cohort gates pass; next561_endpoint_opening_authorized=true,probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next560_hea_entropy_packing_cohort_v1/MANIFEST.json | docs/plans/2026-08-14-next559-next561-hea-entropy-packing.md | artifact mtime: src/next560_hea_entropy_packing_cohort.py
577,next,NEXT561,2026-08-14,2026-08-14T00:18 .. 2026-08-14T00:19,2026-08-14T05:09:11,adjacent,,mined from round report/controls,search/test,EPCU,"HEA blind confirmation 2,000 rows (1,082 positive / 918 negative, 81 protected)",NEXT555 extreme DFT-waste OR endpoint,overall ROC AUC 0.7137119995 (<0.72); cluster bootstrap lower_95 0.6446181538 (<0.68); other clauses pass; confirmation_pass=false,fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next561_hea_entropy_packing_confirmation_v1/NEXT561_HEA_ENTROPY_PACKING_CONFIRMATION.json | docs/plans/2026-08-14-next559-next561-hea-entropy-packing.md | artifact mtime: src/next561_hea_entropy_packing_confirmation.py
578,next,NEXT562,2026-08-14,2026-08-14T00:21 .. 2026-08-14T00:40,2026-08-14T05:21:18,adjacent,,mined from round report/controls,search/test,NEXT552 x0 analytic bank + 14 composition features (analytic union),"opened HEA development data (4,400 rows incl. NEXT560)",NEXT555 extreme DFT-waste OR endpoint,"96 raw features, 192 directed candidates; 12 eligible directions; preeligible_combination_count=0; discovery_pass=false",fail-gate,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next562_hea_stable_analytic_union_search_v1/NEXT562_HEA_STABLE_ANALYTIC_UNION_SEARCH.json | docs/plans/2026-08-14-next562-next564-hea-stable-analytic-union.md | SSD/workspace_data/newpauling/next562_hea_stable_analytic_union_search_v1/NEXT562_HEA_STABLE_ANALYTIC_UNION_SEARCH.json :: eligible_direction_count=12 || workspace/newpauling/repor
579,next,NEXT563,2026-08-14,NA,2026-08-14T05:21:18,adjacent,,mined from round report/controls,search/test,HEA analytic union,NA,NA,not executed; endpoint-sealed identities conditional on NEXT562 discovery_pass (false),not-run (blocked upstream),<repo>/docs/plans/2026-08-14-next562-next564-hea-stable-analytic-union.md | docs/plans/2026-08-14-next562-next564-hea-stable-analytic-union.md
580,next,NEXT564,2026-08-14,NA,2026-08-14T05:21:18,adjacent,,mined from round report/controls,search/test,HEA analytic union,NA,NA,not executed; one-time confirmation blocked (no NEXT562/NEXT563 candidate),not-run (blocked upstream),<repo>/docs/plans/2026-08-14-next562-next564-hea-stable-analytic-union.md | docs/plans/2026-08-14-next562-next564-hea-stable-analytic-union.md
581,next,NEXT565,2026-08-14,2026-08-14T00:46 .. 2026-08-14T00:48,2026-08-14T05:46:29,adjacent,,mined from round report/controls,search/test,MEMAX/MEPU24/ZEPU24 mechanism family (composition entropy + atomic-mass CV midrank percentiles),"opened HEA development+validation (4,400 rows); mechanism diagnosis: OR-endpoint parts overlap ~8.0%; entropy dev AUC 0.7837 on hull part, mass-CV dev AUC 0.7420 on geometry part",NEXT555 extreme DFT-waste OR endpoint (fixed),"three candidates frozen before any new endpoint opening; MEMAX overall AUC 0.7375609789 on opened 4,400",probe-pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next565_hea_mechanism_formula_family_v1/NEXT565_HEA_MECHANISM_FORMULA_EVIDENCE.json ; <repo>/reports/2026-08-14_memax_hea_independent_confirmation.md | docs/plans/2026-08-14-next565-next568-hea-mechanism-calibration.md | artifact mtime: docs/plans/2026-08-14-next565-next568-hea-mechanism-calibration.md
582,next,NEXT566,2026-08-14,2026-08-14T00:49 .. 2026-08-14T00:52,2026-08-14T05:46:29,adjacent,,mined from round report/controls,search/test,MEMAX/MEPU24/ZEPU24,"selection cohort: 4,000 new FIDs (2,000 ordered + 2,000 SQS; 194 systems); one-shot selection (NEXT566B)",NEXT555 extreme DFT-waste OR endpoint,"all three candidates pass selection gates; preregistered order selects simplest MEMAX: overall ROC AUC 0.7562654989, cluster bootstrap lower 0.6839414006, ordered AUC 0.7955291317",pass,<repo>/reports/evidence/2026-08-14-next1-next568/late-json-controls/next566b_hea_mechanism_selection_v1/NEXT566B_HEA_MECHANISM_SELECTION.json | docs/plans/2026-08-14-next565-next568-hea-mechanism-calibration.md | artifact mtime: src/next566_hea_mechanism_selection_cohort.py
